phrase,id,position,corresponding_text
Dark coverings hung upon the walls,91,4192," Dark coverings hung upon the walls.
"
The many chairs andtables had been used for a long,92,4229," The many chairs andtables had been used for a long,"
long time,93,4281," long time.
"
Books lay around the room,94,4293," Books lay around the room,"
but could give it no sense of life,95,4320,"but could give it no sense of life.
"
I felt sadness hanging over every-thing,96,4356," I felt sadness hanging over every-thing.
"
No escape from this deep cold gloom seemed possible,97,4398," No escape from this deep cold gloom seemed possible.
"
As I entered the room,98,4452,"As I entered the room,"
Usher stood up from where he had beenlying and met me with a warmth which at first I could not believe wasreal,99,4474," Usher stood up from where he had beenlying and met me with a warmth which at first I could not believe wasreal.
"
A look,100,4587," A look,"
however,101,4595," however,"
at his face told me that every word he spokewas true,102,4604," at his face told me that every word he spokewas true.
"
We sat down,103,4659,We sat down;
and for some moments,104,4671," and for some moments,"
while he said nothing,105,4693," while he said nothing,"
Ilooked at him with a feeling of sad surprise,106,4716," Ilooked at him with a feeling of sad surprise.
"
Surely,107,4764," Surely,"
no man had everbefore changed as Roderick Usher had! Could this be the friend of myearly years? It is true that his face had always been unusual,108,4772," no man had everbefore changed as Roderick Usher had! Could this be the friend of myearly years? It is true that his face had always been unusual.
"
He hadgray-white skin,109,4919, He hadgray-white skin;
eyes large and full of light,110,4942, eyes large and full of light;
lips not bright in color,111,4972," lips not bright in color,"
but of a beautiful shape,112,4998,but of a beautiful shape;
a well-shaped nose,113,5023, a well-shaped nose;
hair of great softness— a face that was not easy to forget,114,5043," hair of great softness— a face that was not easy to forget.
"
And now the increase in thisstrangeness of his face had caused so great a change that I almost didnot know him,115,5104," And now the increase in thisstrangeness of his face had caused so great a change that I almost didnot know him.
"
The horrible white of his skin,116,5217," The horrible white of his skin,"
and the strange lightin his eyes,117,5249," and the strange lightin his eyes,"
surprised me and even made me afraid,118,5283," surprised me and even made me afraid.
"
His hair had beenallowed to grow,119,5322," His hair had beenallowed to grow,"
and in its softness it did not fall around his face butseemed to lie upon the air,120,5356," and in its softness it did not fall around his face butseemed to lie upon the air.
"
I could not,121,5440," I could not,"
even with an effort,122,5453," even with an effort,"
see in myfriend the appearance of a simple human being,123,5474," see in myfriend the appearance of a simple human being.
"
In his manner,124,5531,"In his manner,"
I saw at once,125,5545," I saw at once,"
changes came and went,126,5560, changes came and went;
and Isoon found that this resulted from his attempt to quiet a very greatnervousness,127,5583," and Isoon found that this resulted from his attempt to quiet a very greatnervousness.
"
I had indeed been prepared for something like this,128,5670," I had indeed been prepared for something like this,"
partly by his letter and partly by remembering him as a boy,129,5722,"partly by his letter and partly by remembering him as a boy.
"
His actionswere first too quick and then too quiet,130,5783," His actionswere first too quick and then too quiet.
"
