phrase,id,position,corresponding_text
for his eyes were open and he was moving his body from side to side,458,19369,"for his eyes were open and he was moving his body from side to side.
"
I began reading again,459,19438,"I began reading again,"
and quickly came to a part of the storywhere a heavy piece of iron falls on a stone floor with a ringing sound,460,19460," and quickly came to a part of the storywhere a heavy piece of iron falls on a stone floor with a ringing sound.
"
These words had just passed my lips when I heard clearly,461,19573,"These words had just passed my lips when I heard clearly,"
but from faraway,462,19630," but from faraway,"
a loud ringing sound — as if something of iron had indeed fallenheavily upon a stone floor,463,19648," a loud ringing sound — as if something of iron had indeed fallenheavily upon a stone floor,"
or as if an iron door had closed,464,19740," or as if an iron door had closed.
"
I lost control of myself completely,465,19775,"I lost control of myself completely,"
and jumped up from my chair,466,19811," and jumped up from my chair.
"
Usher still sat,467,19841,"Usher still sat,"
moving a little from side to side,468,19857," moving a little from side to side.
"
His eyes were turnedto the floor,469,19893," His eyes were turnedto the floor.
"
I rushed to his chair,470,19928," I rushed to his chair.
"
As I placed my hand on his shoulder,471,19952," As I placed my hand on his shoulder,"
I felt that his whole body was trembling,472,19989,I felt that his whole body was trembling;
a sickly smile touched hislips,473,20030, a sickly smile touched hislips;
he spoke in a low,474,20062," he spoke in a low,"
quick,475,20081," quick,"
and nervous voice as if he did not knowI was there,476,20088," and nervous voice as if he did not knowI was there.
"
“Yes!” he said,477,20141,"“Yes!” he said.
"
“I heard it! Many minutes,478,20157," “I heard it! Many minutes,"
many hours,479,20184," many hours,"
many dayshave I heard it — but I did not dare to speak! We have put her livingin the vault! Did I not say that my senses were too strong? I heard herfirst movements many days ago — yet I did not dare to speak! Andnow,480,20196," many dayshave I heard it — but I did not dare to speak! We have put her livingin the vault! Did I not say that my senses were too strong? I heard herfirst movements many days ago — yet I did not dare to speak! Andnow,"
that story — but the sounds were hers! Oh,481,20414," that story — but the sounds were hers! Oh,"
where shall I run?!She is coming — coming to ask why I put her there too soon,482,20457," where shall I run?!She is coming — coming to ask why I put her there too soon.
"
I hearher footsteps on the stairs,483,20537," I hearher footsteps on the stairs.
"
I hear the heavy beating of her heart,484,20573," I hear the heavy beating of her heart.
"
”Here he jumped up and cried as if he were giving up his soul: “i Tellyou,485,20613,"”Here he jumped up and cried as if he were giving up his soul: “i Tellyou ,"
she noW sTands aT The dooR!!”The great door to which he was pointing now slowly opened,486,20688," she noW sTands aT The dooR!!”The great door to which he was pointing now slowly opened.
"
Itwas the work of the rushing wind,487,20777," Itwas the work of the rushing wind,"
perhaps — but no — outside thatdoor a shape did stand,488,20813," perhaps — but no — outside thatdoor a shape did stand,"
the tall figure,489,20868," the tall figure,"
in its grave-clothes,490,20885," in its grave-clothes,"
of the ladyMadeline of Usher,491,20907," of the ladyMadeline of Usher.
"
There was blood upon her white dress,492,20938," There was blood upon her white dress,"
and thesigns of her terrible efforts to escape were upon every part of her thinform,493,20976," and thesigns of her terrible efforts to escape were upon every part of her thinform.
"
For a moment she remained trembling at the door,494,21062, For a moment she remained trembling at the door;
then,495,21111," then,"
with alow cry,496,21117," with alow cry,"
she fell heavily in upon her brother,497,21132, she fell heavily in upon her brother;
in her pain,498,21170," in her pain,"
as she diedat last,499,21183," as she diedat last,"
she carried him down with her,500,21203," she carried him down with her,"
down to the floor,501,21234," down to the floor.
"
He too wasdead,502,21254," He too wasdead,"
killed by his own fear,503,21270," killed by his own fear.
"
I rushed from the room,504,21295,I rushed from the room;
I rushed from the house,505,21318," I rushed from the house.
"
I ran,506,21344," I ran.
"
The stormwas around me in all its strength as I crossed the bridge,507,21352," The stormwas around me in all its strength as I crossed the bridge.
"
Suddenlya wild light moved along the ground at my feet,508,21421," Suddenlya wild light moved along the ground at my feet,"
and I turned to seewhere it could have come from,509,21477," and I turned to seewhere it could have come from,"
for only the great house and its dark-ness were behind me,510,21527," for only the great house and its dark-ness were behind me.
"
The light was that of the full moon,511,21587," The light was that of the full moon,"
of a blood-red moon,512,21624," of a blood-red moon,"
which was now shining through that break in the frontwall,513,21645," which was now shining through that break in the frontwall,"
that crack which I thought I had seen when I first saw the palace,514,21704," that crack which I thought I had seen when I first saw the palace.
"
Then only a little crack,515,21772,"Then only a little crack,"
it now widened as I watched,516,21797," it now widened as I watched.
"
A strong windcame rushing over me — the whole face of the moon appeared,517,21827," A strong windcame rushing over me — the whole face of the moon appeared.
"
I sawthe great walls falling apart,518,21901," I sawthe great walls falling apart.
"
There was a long and stormy shoutingsound — and the deep black lake closed darkly over all that remainedof the house of usheR,519,21938," There was a long and stormy shoutingsound — and the deep black lake closed darkly over all that remainedof the house of usheR.
"
